UMLS CUI [1],UMLS subject label,UMLS Predicate [2],UMLS CUI,UMLS object label,Confidence
C0005956,Bone Marrow Diseases,PROCESS_OF,C0030705,Patients,1.00
C0024121,Lung Neoplasms,PART_OF,C0030705,Patients,0.93
C0024121,Lung Neoplasms,ISA,C0006826,Malignant Neoplasms,0.89
C0024121,Lung Neoplasms,ISA,C0011900,Diagnosis,0.93
C0024121,Lung Neoplasms,ISA,C0009566,Complication,0.94
C0024121,Lung Neoplasms,PROCESS_OF,C0030705,Patients,0.93
C0024121,Lung Neoplasms,PROCESS_OF,C0025266,Male population group,0.88
C0024121,Lung Neoplasms,PROCESS_OF,C0086418,Homo sapiens,0.90
C0024121,Lung Neoplasms,PROCESS_OF,C0025962,Microcirculation,0.90
C0024121,Lung Neoplasms,PROCESS_OF,C0026597,Motion,0.90
C0024121,Lung Neoplasms,PROCESS_OF,C0025914,House mice,0.90
C0024121,Lung Neoplasms,PROCESS_OF,C0043210,Woman,0.94
C0024121,Lung Neoplasms,PROCESS_OF,C0026809,Mus,1.00
C0024121,Lung Neoplasms,PROCESS_OF,C0324889,Old World rabbit,1.00
C1377913,Pleural Mesothelioma,PROCESS_OF,C0030705,Patients,0.93
C0019693,HIV Infections,PREDISPOSES,C0242379,Malignant neoplasm of lung,1.00
C0019693,HIV Infections,COEXISTS_WITH__SPEC__,C0242379,Malignant neoplasm of lung,0.95
C0019693,HIV Infections,COEXISTS_WITH,C0009566,Complication,0.88
C0280631,Leiomyosarcoma of uterus,ISA,C0011900,Diagnosis,0.91
C0149925,Small cell carcinoma of lung,ISA,C0006826,Malignant Neoplasms,0.91
C0149925,Small cell carcinoma of lung,ISA,C0011900,Diagnosis,0.96
C0149925,Small cell carcinoma of lung,ISA,C0012634,Disease,0.87
C0149925,Small cell carcinoma of lung,ISA,C0242379,Malignant neoplasm of lung,0.83
C0149925,Small cell carcinoma of lung,ISA,C0206754,Neuroendocrine Tumors,0.85
C0149925,Small cell carcinoma of lung,ISA,C0262584,"Carcinoma, Small Cell",0.92
C0149925,Small cell carcinoma of lung,ISA,C0027651,Neoplasms,0.82
C0149925,Small cell carcinoma of lung,ISA,C1368683,Epithelioma,0.90
C0149925,Small cell carcinoma of lung,PROCESS_OF,C0086418,Homo sapiens,0.89
C0149925,Small cell carcinoma of lung,PROCESS_OF,C0030705,Patients,0.91
C0149925,Small cell carcinoma of lung,PROCESS_OF,C0599755,cohort,0.91
C0149925,Small cell carcinoma of lung,PROCESS_OF,C1079230,Subgroup A Nepoviruses,0.78
C0149925,Small cell carcinoma of lung,PROCESS_OF,C0870602,geriatric patients,0.90
C0149925,Small cell carcinoma of lung,PROCESS_OF,C1520166,Xenograft Model,0.86
C0149925,Small cell carcinoma of lung,PRODUCES,C0297513,NeuroD protein,0.93
C0149925,Small cell carcinoma of lung,AFFECTS,C0013203,Drug resistance,0.96
C0149925,Small cell carcinoma of lung,CAUSES,C0242379,Malignant neoplasm of lung,0.90
C0149925,Small cell carcinoma of lung,CAUSES,C0027651,Neoplasms,1.00
C0149925,Small cell carcinoma of lung,PROCESS_OF__SPEC__,C0025266,Male population group,0.75
C1334452,Neuroendocrine neoplasm of lung,PROCESS_OF,C0030705,Patients,0.95
C1334452,Neuroendocrine neoplasm of lung,PRODUCES,C0282523,CpG Islands,0.95
C1334452,Neuroendocrine neoplasm of lung,PRODUCES,C0083344,"ASCL1 protein, human",0.96
C0262584,"Carcinoma, Small Cell",PROCESS_OF,C0030705,Patients,0.83
C0262584,"Carcinoma, Small Cell",ISA,C0001418,Adenocarcinoma,0.93
C1336082,Thymic Squamous Cell Carcinoma,PROCESS_OF,C0030705,Patients,1.00
C0334233,Pleomorphic carcinoma,ISA,C0205697,"Carcinoma, Spindle-Cell",0.97
C0334233,Pleomorphic carcinoma,PART_OF__SPEC__,C0024109,Lung,0.99
C0334233,Pleomorphic carcinoma,PROCESS_OF,C0030705,Patients,1.00
C0559460,Adrenal neuroblastoma,ISA,C0027651,Neoplasms,0.90
C0206624,Hepatoblastoma,PRODUCES,C0812273,SMARCB1 gene,0.94
C0220633,Uveal melanoma,COEXISTS_WITH,C3280492,TUMOR PREDISPOSITION SYNDROME,0.90
C1260325,"Dendritic Cell Sarcoma, Follicular",ISA,C0027651,Neoplasms,0.94
C0268314,"Cholestasis-edema syndrome, Norwegian type",PRECEDES,C0879626,Adverse effects,0.94
C0268314,"Cholestasis-edema syndrome, Norwegian type",PROCESS_OF,C1711307,Coordinator,0.85
C0279000,Liver and Intrahepatic Biliary Tract Carcinoma,PROCESS_OF,C0030705,Patients,0.80
C0376356,Premenstrual Tension,PROCESS_OF,C0030705,Patients,1.00
C0812413,Malignant Pleural Mesothelioma,PROCESS_OF,C0030705,Patients,0.97
C0812413,Malignant Pleural Mesothelioma,AFFECTS,C0232804,Renal function,1.00
C0812413,Malignant Pleural Mesothelioma,ISA,C0011900,Diagnosis,0.87
C1266166,Intracortical osteosarcoma,PROCESS_OF,C0030705,Patients,1.00
C0022661,"Kidney Failure, Chronic",PROCESS_OF,C0030705,Patients,1.00
C0334303,Alveolar adenoma,PART_OF,C0006270,Bronchioles,0.87
C0241961,Angiomyolipoma of kidney,ISA,C0086692,Benign Neoplasm,0.99
C0030446,Paralytic Ileus,CAUSES,C0750325,"Vomiting, recurrent",1.00
C0030446,Paralytic Ileus,CAUSES,C0032290,Aspiration Pneumonia,1.00
C0034065,Pulmonary Embolism,CAUSES,C1145670,Respiratory Failure,0.94
C0034065,Pulmonary Embolism,CAUSES,C0264935,Progressive pulmonary hypertension,0.94
C0034065,Pulmonary Embolism,ISA,C0027651,Neoplasms,0.88
C0034065,Pulmonary Embolism,PREDISPOSES,C0151744,Myocardial Ischemia,1.00
C0019829,Hodgkin Disease,PROCESS_OF,C0030705,Patients,0.95
C0398650,Immune thrombocytopenic purpura,ISA,C0857305,Thrombocytopenic purpura,0.82
C0024141,"Lupus Erythematosus, Systemic",COEXISTS_WITH,C0242379,Malignant neoplasm of lung,1.00
C0033117,Priapism,ISA,C1457887,Symptoms,0.93
C0024225,Lymphangitis,PROCESS_OF,C0030705,Patients,0.93
C0014457,Eosinophilia,ISA,C1457887,Symptoms,1.00
C0026764,Multiple Myeloma,PROCESS_OF,C0030705,Patients,0.76
C0006267,Bronchiectasis,PROCESS_OF,C0030705,Patients,1.00
C1823843,WRAP53 gene,INTERACTS_WITH,C0079419,TP53 gene,0.93
C1823843,WRAP53 gene,STIMULATES,C0812222,MDM2 gene,0.92
C1823843,WRAP53 gene,STIMULATES,C0079419,TP53 gene,0.85
C1823843,WRAP53 gene,STIMULATES,C1421408,USP7 gene,1.00
C1823843,WRAP53 gene,AFFECTS,C0012634,Disease,0.94
C1823843,WRAP53 gene,INHIBITS,C0812222,MDM2 gene,1.00
C1823843,WRAP53 gene,INTERACTS_WITH,C0032136,Plasmids,0.91
C1823843,WRAP53 gene,INHIBITS,C0079419,TP53 gene,0.81
C1823843,WRAP53 gene,AFFECTS,C1660642,cellular localization,0.93
C1823843,WRAP53 gene,INTERACTS_WITH,C0812222,MDM2 gene,0.98
C1823843,WRAP53 gene,AFFECTS,C1519751,Ubiquitination,1.00
C1823843,WRAP53 gene,INTERACTS_WITH,C1421408,USP7 gene,0.96
C1823843,WRAP53 gene,AFFECTS,C0040649,"Transcription, Genetic",1.00
C1823843,WRAP53 gene,AUGMENTS,C0596290,Cell Proliferation,0.92
C1823843,WRAP53 gene,INTERACTS_WITH,C1419429,RNF8 gene,0.95
C1823843,WRAP53 gene,ASSOCIATED_WITH,C0265965,Dyskeratosis Congenita,0.85
C1823843,WRAP53 gene,INTERACTS_WITH,C0127400,Mediator brand of benfluorex hydrochloride,0.93
C0017337,Genes,AUGMENTS,C0006826,Malignant Neoplasms,1.00
C0017337,Genes,PART_OF,C0030705,Patients,0.94
C0017337,Genes,PART_OF,C0242379,Malignant neoplasm of lung,1.00
C0017337,Genes,PART_OF,C0006826,Malignant Neoplasms,1.00
C0017337,Genes,TREATS,C0007095,Carcinoid Tumor,0.84
C0017337,Genes,TREATS,C0007097,Carcinoma,0.93
C0017337,Genes,INTERACTS_WITH,C0041964,Urethane,0.89
C0017337,Genes,INTERACTS_WITH,C1443775,Epidermal growth factor receptor inhibitor,0.87
C0017337,Genes,compared_with,C1705590,PIK3CB wt Allele,0.94
C0017337,Genes,compared_with,C3494264,"RNA, Long Untranslated",0.87
C0017337,Genes,COEXISTS_WITH,C0056912,cytidylyl-3'-5'-guanosine,0.93
C0017337,Genes,COEXISTS_WITH,C0661318,1-methyl-1-piperidinomethane sulfonate,1.00
C0017337,Genes,DISRUPTS,C0004135,Ataxia Telangiectasia,0.95
C0017337,Genes,AFFECTS,C0819757,Structure of parenchyma of lung,0.95
C0017337,Genes,AFFECTS,C1704259,Biochemical Pathway,0.97
C0017337,Genes,AFFECTS,C0037083,Signal Transduction,0.95
C0017337,Genes,AFFECTS,C0007595,cell growth,0.95
C0017337,Genes,AFFECTS,C1622501,"Migration, Cell",1.00
C0017337,Genes,AFFECTS,C1510470,Motility,1.00
C0017337,Genes,AFFECTS,C0007586,Cell Cycle,0.98
C0017337,Genes,ASSOCIATED_WITH,C0021368,Inflammation,1.00
C0017337,Genes,ASSOCIATED_WITH,C0007131,Non-Small Cell Lung Carcinoma,0.87
C0017337,Genes,ASSOCIATED_WITH,C0024121,Lung Neoplasms,0.90
C0017337,Genes,ASSOCIATED_WITH,C0699748,Pathogenesis,1.00
C0017337,Genes,ASSOCIATED_WITH,C0006826,Malignant Neoplasms,0.94
C0017337,Genes,ASSOCIATED_WITH,C0001418,Adenocarcinoma,0.89
C0017337,Genes,ASSOCIATED_WITH,C0027651,Neoplasms,1.00
C0017337,Genes,ASSOCIATED_WITH,C0007621,Neoplastic Cell Transformation,0.94
C0017337,Genes,ASSOCIATED_WITH,C0025202,melanoma,0.93
C0017337,Genes,ASSOCIATED_WITH,C0001511,Tissue Adhesions,0.89
C0017337,Genes,ASSOCIATED_WITH,C0242379,Malignant neoplasm of lung,1.00
C0017337,Genes,ASSOCIATED_WITH,C2939419,Secondary Neoplasm,1.00
C0017337,Genes,ASSOCIATED_WITH,C0024796,Marfan Syndrome,0.83
C0017337,Genes,CAUSES,C0007587,Cell Death,1.00
C0017337,Genes,lower_than,C3494264,"RNA, Long Untranslated",0.87
C0079419,TP53 gene,AUGMENTS,C0008628,Chromosome Deletion,0.90
C0079419,TP53 gene,AUGMENTS,C1171362,protein expression,0.91
C0079419,TP53 gene,AUGMENTS,C0007581,Cell Aging,0.94
C0079419,TP53 gene,AUGMENTS,C0007634,Cells,0.89
C0079419,TP53 gene,PART_OF,C0682523,human cell line,0.82
C0079419,TP53 gene,PART_OF,C2245017,NADH dehydrogenase complex,0.99
C0079419,TP53 gene,PART_OF,C0007634,Cells,0.82
C0079419,TP53 gene,PART_OF,C0334227,"Tumor cells, malignant",0.86
C0079419,TP53 gene,INTERACTS_WITH,C1421408,USP7 gene,0.98
C0079419,TP53 gene,INTERACTS_WITH,C1823843,WRAP53 gene,1.00
C0079419,TP53 gene,INTERACTS_WITH,C0208355,multicatalytic endopeptidase complex,0.92
C0079419,TP53 gene,INTERACTS_WITH,C0600493,5' Untranslated Regions,0.90
C0079419,TP53 gene,INTERACTS_WITH,C0812222,MDM2 gene,0.99
C0079419,TP53 gene,INTERACTS_WITH,C2728259,Program,0.94
C0079419,TP53 gene,INTERACTS_WITH,C0664965,pterostilbene,1.00
C0079419,TP53 gene,STIMULATES,C1538577,PARP1 gene,0.91
C0079419,TP53 gene,compared_with,C0246694,MG 132,0.95
C0079419,TP53 gene,AFFECTS,C0162638,Apoptosis,0.98
C0079419,TP53 gene,AFFECTS,C1516334,Cell Cycle Progression,1.00
C0079419,TP53 gene,AFFECTS,C0007634,Cells,0.93
C0079419,TP53 gene,AFFECTS,C1540661,cell fate,0.95
C0079419,TP53 gene,AFFECTS,C1622501,"Migration, Cell",0.93
C0079419,TP53 gene,PREDISPOSES,C0027627,Neoplasm Metastasis,0.86
C0079419,TP53 gene,ASSOCIATED_WITH,C0027651,Neoplasms,0.95
C0079419,TP53 gene,ASSOCIATED_WITH,C0024121,Lung Neoplasms,0.97
C0079419,TP53 gene,CAUSES,C0237284,unresponsive behavior,1.00
C0079419,TP53 gene,CAUSES,C0162638,Apoptosis,0.87
C0079419,TP53 gene,INHIBITS,C1332695,CCNB1 gene,1.00
C0079419,TP53 gene,INHIBITS,C1366587,MCL1 gene,0.80
C0079419,TP53 gene,INHIBITS,C1705280,CDKN2A wt Allele,0.90
C0079419,TP53 gene,INHIBITS,C0080054,CDC2 Protein Kinase,1.00
C1293130,Stabilization,TREATS,C0242379,Malignant neoplasm of lung,0.94
C1293130,Stabilization,USES,C1366587,MCL1 gene,0.86
C1293130,Stabilization,USES,C0812222,MDM2 gene,0.89
C1293130,Stabilization,USES,C0079419,TP53 gene,0.89
C0033684,Proteins,COEXISTS_WITH,C3541167,ACTA2-AS1 gene,1.00
C0033684,Proteins,DISRUPTS,C0007600,Cultured Cell Line,0.88
C0033684,Proteins,STIMULATES,C3203086,"Antigens, CD274",1.00
C0033684,Proteins,PREDISPOSES,C0027651,Neoplasms,0.94
C0033684,Proteins,INTERACTS_WITH,C1823577,UBE2Z gene,1.00
C0033684,Proteins,AFFECTS,C0162638,Apoptosis,1.00
C0033684,Proteins,PART_OF,C0007634,Cells,0.81
C0033684,Proteins,STIMULATES,C0079280,Endothelial Growth Factors,0.96
C0033684,Proteins,STIMULATES,C0034678,ras Oncogene,1.00
C0033684,Proteins,STIMULATES,C0377800,protein B,0.90
C0033684,Proteins,PART_OF,C0291573,caspase-3,0.95
C0033684,Proteins,PART_OF,C1333206,DDR1 gene,1.00
C0033684,Proteins,ISA,C0013227,Pharmaceutical Preparations,1.00
C0033684,Proteins,DISRUPTS,C0040682,cell transformation,0.91
C0033684,Proteins,DISRUPTS,C0162638,Apoptosis,0.94
C0033684,Proteins,AFFECTS,C0007613,Cell physiology,0.97
C0033684,Proteins,PART_OF,C0032405,Poly(ADP-ribose) Polymerases,0.94
C0033684,Proteins,INTERACTS_WITH__SPEC__,C1567665,"ITK protein, human",1.00
C0033684,Proteins,PART_OF,C0027651,Neoplasms,0.87
C0033684,Proteins,AFFECTS,C0282636,Cell Respiration,1.00
C0033684,Proteins,CAUSES,C0242184,Hypoxia,1.00
C0033684,Proteins,AFFECTS__SPEC__,C0006826,Malignant Neoplasms,1.00
C0033684,Proteins,STIMULATES,C0812284,RALA gene,0.92
C0033684,Proteins,AFFECTS,C0027651,Neoplasms,0.94
C0033684,Proteins,AFFECTS,C0004391,Autophagy,1.00
C0033684,Proteins,CAUSES,C0162638,Apoptosis,1.00
C0033684,Proteins,STIMULATES,C0017649,Globulins,0.91
C0033684,Proteins,COEXISTS_WITH,C0001002,Acetone,0.93
C0027361,Persons,LOCATION_OF,C1825598,IMPACT gene,0.91
C0027361,Persons,LOCATION_OF,C0055954,Clostridium perfringens epsilon-toxin,0.96
C0027361,Persons,USES,C1517886,Limited stage (cancer stage),0.92
C0949639,Transcription Initiation Site,COEXISTS_WITH,C1540292,CD274 gene,1.00
C1179132,Scaffold protein,INTERACTS_WITH,C0525271,Folate Receptor 2,0.96
C1179132,Scaffold protein,INTERACTS_WITH,C1706126,KSR1 wt Allele,0.93
C1179132,Scaffold protein,INTERACTS_WITH,C0079419,TP53 gene,1.00
C1179132,Scaffold protein,PART_OF,C1413064,CACNA1S gene,0.98
C1179132,Scaffold protein,AFFECTS,C1744691,establishment and maintenance of localization,0.94
C1179132,Scaffold protein,PART_OF,C1419128,PTRF gene,0.98
C1179132,Scaffold protein,AUGMENTS,C2244314,cellular component assembly,0.94
C1744691,establishment and maintenance of localization,AFFECTS,C2939419,Secondary Neoplasm,0.89
C1744691,establishment and maintenance of localization,PROCESS_OF,C0030705,Patients,0.93
C0012854,DNA,AUGMENTS,C0011109,Decision Making,0.88
C0012854,DNA,ADMINISTERED_TO,C0007634,Cells,0.94
C0012854,DNA,ADMINISTERED_TO,C0677626,hepatoma cell,0.94
C0012854,DNA,ASSOCIATED_WITH__INFER__,C0242379,Malignant neoplasm of lung,0.86
C0012854,DNA,PART_OF,C1183428,Solocyte,0.90
C0012854,DNA,PART_OF,C0023516,Leukocytes,0.83
C0012854,DNA,PART_OF,C0030705,Patients,0.87
C0012854,DNA,PART_OF,C0033373,Prolactin Release-Inhibiting Hormone,1.00
C0012854,DNA,PART_OF,C0007600,Cultured Cell Line,0.86
C0012854,DNA,STIMULATES,C0291573,caspase-3,0.91
C0012854,DNA,AFFECTS,C1744691,establishment and maintenance of localization,0.91
C0086418,Homo sapiens,LOCATION_OF,C3538741,MRC1 wt Allele,0.94
C0086418,Homo sapiens,USES,C0872345,Gene Chips,0.55
C0206530,Germ-Line Mutation,AFFECTS,C3280492,TUMOR PREDISPOSITION SYNDROME,0.90
C0206530,Germ-Line Mutation,AFFECTS,C0740457,Malignant neoplasm of kidney,0.96
C0206530,Germ-Line Mutation,AFFECTS,C1368871,Pediatric Neoplasm,0.91
C0007113,Rectal Carcinoma,CAUSES,C0153676,Secondary malignant neoplasm of lung,1.00
C0007113,Rectal Carcinoma,PROCESS_OF,C0030705,Patients,0.90
C0460004,Head and neck structure,LOCATION_OF,C0153382,Malignant neoplasm of oropharynx,0.81
C0460004,Head and neck structure,LOCATION_OF,C0006826,Malignant Neoplasms,0.84
C0460004,Head and neck structure,LOCATION_OF,C0007097,Carcinoma,0.79
C0007097,Carcinoma,PART_OF,C0024109,Lung,0.88
C0007097,Carcinoma,PART_OF,C0033572,Prostate,1.00
C0007097,Carcinoma,PART_OF,C1281573,Entire bladder,1.00
C0007097,Carcinoma,PART_OF,C1278908,Entire lung,0.85
C0007097,Carcinoma,ISA,C0006826,Malignant Neoplasms,0.90
C0007097,Carcinoma,PROCESS_OF,C0027361,Persons,0.89
C0007097,Carcinoma,PROCESS_OF,C0026809,Mus,0.94
C0007097,Carcinoma,PROCESS_OF,C0030705,Patients,0.89
C0007097,Carcinoma,PROCESS_OF,C0043210,Woman,0.84
C0007097,Carcinoma,PROCESS_OF,C0086418,Homo sapiens,0.89
C0006142,Malignant neoplasm of breast,PART_OF,C0086282,Family member,1.00
C0006142,Malignant neoplasm of breast,ISA,C0027651,Neoplasms,0.90
C0006142,Malignant neoplasm of breast,ISA,C0006826,Malignant Neoplasms,0.97
C0006142,Malignant neoplasm of breast,PROCESS_OF,C0030705,Patients,0.92
C0006142,Malignant neoplasm of breast,PROCESS_OF,C0025266,Male population group,1.00
C0006142,Malignant neoplasm of breast,PROCESS_OF,C0026809,Mus,0.93
C0006142,Malignant neoplasm of breast,PROCESS_OF,C0599755,cohort,0.82
C0006142,Malignant neoplasm of breast,PROCESS_OF,C0043210,Woman,1.00
C0006142,Malignant neoplasm of breast,PROCESS_OF,C0086418,Homo sapiens,0.90
C0006142,Malignant neoplasm of breast,COEXISTS_WITH,C0007847,Malignant tumor of cervix,0.95
C0006142,Malignant neoplasm of breast,AFFECTS,C2936626,Tumor Microenvironment,1.00
C0006142,Malignant neoplasm of breast,OCCURS_IN,C0043210,Woman,1.00
C0006142,Malignant neoplasm of breast,MANIFESTATION_OF,C0007587,Cell Death,0.91
C0029925,Ovarian Carcinoma,PROCESS_OF,C2986594,Mouse Model,0.89
C0029925,Ovarian Carcinoma,PROCESS_OF,C0030705,Patients,0.89
C0205156,Previous,ISA,C1274040,Result,0.87
C2603343,Study,USES,C0175659,Weight measurement scales,0.85
C2603343,Study,METHOD_OF,C1516204,Cancer Histology,0.92
C0332183,Frequent,ISA,C1274040,Result,0.88
C0007600,Cultured Cell Line,PART_OF,C0024109,Lung,0.88
C0007600,Cultured Cell Line,PART_OF,C1281569,Entire colon,0.90
C0007600,Cultured Cell Line,LOCATION_OF,C3203086,"Antigens, CD274",0.94
C0007600,Cultured Cell Line,LOCATION_OF,C1336629,TIMP2 gene,0.95
C0007600,Cultured Cell Line,LOCATION_OF,C1826409,ADC gene,0.93
C0007600,Cultured Cell Line,LOCATION_OF,C1421500,WEE1 gene,0.87
C0007600,Cultured Cell Line,LOCATION_OF,C0040057,Thromboxane A2,0.87
C0007600,Cultured Cell Line,LOCATION_OF,C1417215,MMRN1 gene,0.89
C0007600,Cultured Cell Line,LOCATION_OF,C3812731,"Opioid Growth Factor Receptor, human",1.00
C0007600,Cultured Cell Line,LOCATION_OF,C1823577,UBE2Z gene,0.94
C0007600,Cultured Cell Line,LOCATION_OF,C1415619,HMOX1 gene,0.95
C0007600,Cultured Cell Line,LOCATION_OF,C0040688,Transforming Growth Factor alpha,0.89
C0007600,Cultured Cell Line,LOCATION_OF,C0246415,docetaxel,0.94
C0007600,Cultured Cell Line,LOCATION_OF,C1567665,"ITK protein, human",0.91
C0007600,Cultured Cell Line,LOCATION_OF,C0752046,Single Nucleotide Polymorphism,0.90
C0007600,Cultured Cell Line,LOCATION_OF,C1537790,MIR137 gene,1.00
C0007600,Cultured Cell Line,LOCATION_OF,C0022457,K-ras Oncogene,0.88
C0007600,Cultured Cell Line,LOCATION_OF,C1964257,Observation - diagnostic procedure,0.86
C0155070,Hypopyon ulcer,ISA,C0020641,Hypopyon,1.00
C0020641,Hypopyon,ISA,C0154909,Primary iridocyclitis,1.00
C0154909,Primary iridocyclitis,ISA,C0042165,Anterior uveitis,1.00
C0155068,Ring corneal ulcer,ISA,C0010043,Corneal Ulcer,1.00
C0151844,Perforated corneal ulcer,ISA,C0010043,Corneal Ulcer,1.00
C0149517,Chronic tonsillitis,ISA,C0029581,Other disease of nasal cavity and sinuses,1.00
C0023241,Legionnaires' Disease,ISA,C0023240,Legionellosis,1.00
C0009443,Common Cold,ISA,C0029581,Other disease of nasal cavity and sinuses,1.00
C0155826,Chronic nasopharyngitis,ISA,C0027438,Nasopharyngeal Diseases,1.00
C0027438,Nasopharyngeal Diseases,ISA,C0029581,Other disease of nasal cavity and sinuses,1.00
C0266846,Dental caries extending into dentin,ISA,C1456145,Dental caries of smooth surface,1.00
C1456145,Dental caries of smooth surface,ISA,C0029770,Other specified diseases of hard tissues of teeth,1.00
C0158317,Patellar tendonitis,ISA,C0039503,Tendinitis,1.00
C0039503,Tendinitis,ISA,C0027121,Myositis,1.00
C0011981,Diaphragmatic Eventration,ISA,C0152097,Disease of diaphragm,1.00
C0014850,Esophageal Atresia,ISA,C0014852,Esophageal Diseases,1.00
C0014852,Esophageal Diseases,ISA,C0012242,Digestive System Disorders,1.00
C0021828,Intestinal Atresia,ISA,C0021831,Intestinal Diseases,1.00
C0019569,Hirschsprung Disease,ISA,C0025160,Megacolon,1.00
C0025160,Megacolon,ISA,C0009373,Colonic Diseases,1.00
C0405580,Adrenal cortical hypofunction,ISA,C0001614,Adrenal Cortex Diseases,1.00
C0155262,Orbital granuloma,ISA,C0155261,Chronic inflammation of orbit,1.00
C0155261,Chronic inflammation of orbit,ISA,C0029182,orbit (eye disorders),1.00
C0152107,Postmyocardial infarction syndrome,ISA,C0031046,Pericarditis,1.00
C0155395,Malignant otitis externa,ISA,C0021355,Infective otitis externa,1.00
C0021355,Infective otitis externa,ISA,C0155388,Diseases of external ear,1.00
C0155393,Acute swimmer's ear,ISA,C0021355,Infective otitis externa,1.00
C0155392,Acute infection of pinna,ISA,C0021355,Infective otitis externa,1.00
C0155157,Double pterygium,ISA,C0033999,Pterygium,1.00
C0032310,"Pneumonia, Viral",ISA,C0032285,Pneumonia,1.00
C0032285,Pneumonia,ISA,C0024115,Lung diseases,1.00
C0153423,Malignant tumor of greater curve of stomach,ISA,C0685938,Malignant neoplasm of gastrointestinal tract,1.00
C1334585,Malignant Gastric Granular Cell Tumor,ISA,C0153423,Malignant tumor of greater curve of stomach,1.00
C0153420,malignant neoplasm of gastric fundus,ISA,C0153423,Malignant tumor of greater curve of stomach,1.00
C0349532,Gastric lymphoma,ISA,C0153423,Malignant tumor of greater curve of stomach,1.00
C0349530,Early gastric cancer,ISA,C0278701,Gastric Adenocarcinoma,1.00
C0278701,Gastric Adenocarcinoma,ISA,C0699791,Stomach Carcinoma,1.00
C0153418,Malignant neoplasm of pylorus,ISA,C0153423,Malignant tumor of greater curve of stomach,1.00
C0153419,Malignant neoplasm of pyloric antrum,ISA,C0153418,Malignant neoplasm of pylorus,1.00
C0153417,Malignant neoplasm of cardia,ISA,C0153423,Malignant tumor of greater curve of stomach,1.00
C0155429,Acute eustachian tube salpingitis,ISA,C0155428,Eustachian tube salpingitis,1.00
C0155428,Eustachian tube salpingitis,ISA,C0155435,Other disorders of Eustachian tube,1.00
C0025309,Meningoencephalitis,ISA,C0007682,CNS disorder,1.00
C0157456,"Maternal hypotension syndrome, unspecified as to episode of care or not applicable",ISA,C0752130,Spinal Cord Ischemia,1.00
C0752130,Spinal Cord Ischemia,ISA,C0007222,Cardiovascular Diseases,1.00
C1517744,Late Yaws,ISA,C0043388,Yaws,1.00
C0343834,Bone and/or joint yaws lesions,ISA,C0043388,Yaws,1.00
C0023520,Leukodystrophy,ISA,C0154671,Degenerative brain disorder,1.00
C0154671,Degenerative brain disorder,ISA,C0085584,Encephalopathies,1.00
C0023522,"Leukodystrophy, Metachromatic",ISA,C0037899,Sphingolipidoses,1.00
C0034960,Refsum Disease,ISA,C0023772,"Lipid Metabolism, Inborn Errors",1.00
C0220701,RETINITIS PIGMENTOSA 1,ISA,C0035304,Retinal Degeneration,1.00
C0035304,Retinal Degeneration,ISA,C0035309,Retinal Diseases,1.00
C0023521,Globoid cell leukodystrophy,ISA,C0037899,Sphingolipidoses,1.00
C0162309,Adrenoleukodystrophy,ISA,C0023520,Leukodystrophy,1.00
C0156664,"Mild or unspecified pre-eclampsia, unspecified as to episode of care or not applicable",ISA,C0032914,Pre-Eclampsia,1.00
C0032914,Pre-Eclampsia,ISA,C0020538,Hypertensive disease,1.00
C0154756,Idiopathic progressive polyneuropathy,ISA,C0152025,Polyneuropathy,1.00
C0152025,Polyneuropathy,ISA,C1335029,Non-Neoplastic Peripheral Nervous System Disorder,1.00
C0018609,Hartnup Disease,ISA,C0002514,"Amino Acid Metabolism, Inborn Errors",1.00
C0008701,Chronic Motor or Vocal Tic Disorder,ISA,C0040188,Tic disorder,1.00
C0038238,Steatorrhea,ISA,C0021831,Intestinal Diseases,1.00
C0271650,Impaired glucose tolerance,ISA,C0020456,Hyperglycemia,1.00
C0020456,Hyperglycemia,ISA,C1257958,Glucose Metabolism Disorders,1.00
C0022951,Lactose Intolerance,ISA,C0029777,Other specified disorders of carbohydrate transport and metabolism,1.00
C0029777,Other specified disorders of carbohydrate transport and metabolism,ISA,C0025521,Inborn Errors of Metabolism,1.00
C0036992,Short Bowel Syndrome,ISA,C0021831,Intestinal Diseases,1.00
C0005750,Blind Loop Syndrome,ISA,C0021831,Intestinal Diseases,1.00
C0038054,"Sprue, Tropical",ISA,C0021831,Intestinal Diseases,1.00
C0152166,Pancreatic steatorrhea,ISA,C0029771,Other specified diseases of pancreas,1.00
C0029771,Other specified diseases of pancreas,ISA,C0014130,Endocrine System Diseases,1.00
C0033680,Protein-Losing Enteropathies,ISA,C0021831,Intestinal Diseases,1.00
C0149526,Allergic urticaria,ISA,C0029839,Other specified urticaria,1.00
C0029839,Other specified urticaria,ISA,C0037277,"Skin Diseases, Genetic",1.00
C0153195,Acute gonococcal cervicitis,ISA,C0269061,Acute cervicitis,1.00
C0269061,Acute cervicitis,ISA,C0007861,Uterine cervicitis and endocervicitis,1.00
C0007861,Uterine cervicitis and endocervicitis,ISA,C0007867,Cervix Diseases,1.00
C0341703,Adult Fanconi syndrome,ISA,C0035091,"Renal Tubular Transport, Inborn Errors",1.00
C0155291,Primary optic atrophy,ISA,C0029124,Optic Atrophy,1.00
C0026010,Microphthalmos,ISA,C0015397,Disorder of eye,1.00
